customerkey,geographykey,fullname,gender,yearlyincome,datefirstpurchase,city,state,region,postalcode
11000,26,JonYang,M,90000,19-01-2020,Rockhampton,Queensland,Australia,4700
11001,37,EugeneHuang,M,60000,15-01-2020,Seaford,Victoria,Australia,3198
11002,31,RubenTorres,M,60000,07-01-2020,Hobart,Tasmania,Australia,7001
11003,11,ChristyZhu,F,70000,29-12-2019,North Ryde,New South Wales,Australia,2113
11004,19,ElizabethJohnson,F,80000,23-01-2020,Wollongong,New South Wales,Australia,2500
11005,22,JulioRuiz,M,70000,30-12-2019,East Brisbane,Queensland,Australia,4169
11006,8,JanetAlvarez,F,70000,24-01-2020,Matraville,New South Wales,Australia,2036
11007,40,MarcoMehta,M,60000,09-01-2020,Warrnambool,Victoria,Australia,3280
11008,32,RobVerhoff,F,60000,25-01-2020,Bendigo,Victoria,Australia,3550
11009,25,ShannonCarlson,M,70000,27-01-2020,Hervey Bay,Queensland,Australia,4655
11010,22,JacquelynSuarez,F,70000,14-01-2020,East Brisbane,Queensland,Australia,4169
11011,22,CurtisLu,M,60000,30-12-2019,East Brisbane,Queensland,Australia,4169
11012,611,LaurenWalker,F,100000,16-03-2022,Bremerton,Washington,United States,98312
11013,543,IanJenkins,M,100000,13-04-2022,Lebanon,Oregon,United States,97355
11014,634,SydneyBennett,F,100000,23-03-2022,Redmond,Washington,United States,98052
11015,301,ChloeYoung,F,30000,18-01-2022,Burbank,California,United States,91502
11016,329,WyattHill,M,30000,09-02-2022,Imperial Beach,California,United States,91932
11017,39,ShannonWang,F,20000,12-01-2020,Sunbury,Victoria,Australia,3429
11018,32,ClarenceRai,M,30000,17-01-2020,Bendigo,Victoria,Australia,3550
11019,52,LukeLal,M,40000,12-02-2022,Langley,British Columbia,Canada,V3A 4R2
11020,53,JordanKing,M,40000,29-12-2021,Metchosin,British Columbia,Canada,V9
11021,536,DestinyWilson,F,40000,23-01-2022,Beaverton,Oregon,United States,97005
11022,609,EthanZhang,M,40000,20-01-2022,Bellingham,Washington,United States,98225
11023,298,SethEdwards,M,40000,17-02-2022,Bellflower,California,United States,90706
11024,311,RussellXie,M,60000,27-06-2022,Concord,California,United States,94519
11025,24,AlejandroBeck,M,10000,06-01-2020,Hawthorne,Queensland,Australia,4171
11026,4,HaroldSai,M,30000,23-01-2020,Goulburn,New South Wales,Australia,2580
11027,40,JessieZhao,M,30000,16-01-2020,Warrnambool,Victoria,Australia,3280
11028,17,JillJimenez,F,30000,26-01-2020,St. Leonards,New South Wales,Australia,2065
11029,32,JimmyMoreno,M,30000,19-01-2020,Bendigo,Victoria,Australia,3550
11030,28,BethanyYuan,F,10000,05-02-2020,Cloverdale,South Australia,Australia,6105
11031,8,TheresaRamos,F,20000,01-02-2020,Matraville,New South Wales,Australia,2036
11032,35,DeniseStone,F,20000,18-02-2020,Melbourne,Victoria,Australia,3000
11033,9,JaimeNath,M,20000,15-02-2020,Milsons Point,New South Wales,Australia,2061
11034,12,EbonyGonzalez,F,20000,01-02-2020,North Sydney,New South Wales,Australia,2055
11035,33,WendyDominguez,F,10000,06-02-2020,Cranbourne,Victoria,Australia,3977
11036,343,JenniferRussell,F,60000,22-01-2022,National City,California,United States,91950
11037,49,ChloeGarcia,F,40000,20-01-2022,Cliffside,British Columbia,Canada,V8Y 1L1
11038,6,DianaHernandez,F,10000,07-02-2020,Lavender Bay,New South Wales,Australia,2060
11039,19,MarcMartin,M,30000,07-02-2020,Wollongong,New South Wales,Australia,2500
11040,642,JesseMurphy,M,30000,03-04-2022,Tacoma,Washington,United States,98403
11041,325,AmandaCarter,F,60000,14-01-2022,Glendale,California,United States,91203
11042,338,MeganSanchez,F,70000,21-01-2022,Los Angeles,California,United States,90012
11043,325,NathanSimmons,M,60000,08-05-2022,Glendale,California,United States,91203
11044,25,AdamFlores,M,20000,28-02-2020,Hervey Bay,Queensland,Australia,4655
11045,8,LeonardNara,M,30000,10-04-2022,Matraville,New South Wales,Australia,2036
11046,6,ChristineYuan,F,30000,06-02-2020,Lavender Bay,New South Wales,Australia,2060
11047,34,JaclynLu,F,30000,03-02-2020,Geelong,Victoria,Australia,3220
11048,39,JeremyPowell,M,30000,10-02-2020,Sunbury,Victoria,Australia,3429
11049,307,CarolRai,F,40000,09-03-2022,Chula Vista,California,United States,91910
11050,31,AlanZheng,M,30000,20-02-2020,Hobart,Tasmania,Australia,7001
11051,21,DanielJohnson,M,30000,29-12-2022,Caloundra,Queensland,Australia,4551
11052,8,HeidiLopez,F,40000,17-02-2020,Matraville,New South Wales,Australia,2036
11053,359,AnaPrice,F,60000,17-01-2022,San Diego,California,United States,92102
11054,34,DeannaMunoz,F,40000,03-02-2020,Geelong,Victoria,Australia,3220
11055,22,GilbertRaje,M,40000,31-01-2020,East Brisbane,Queensland,Australia,4169
11056,10,MicheleNath,F,40000,26-02-2020,Newcastle,New South Wales,Australia,2300
11057,5,CarlAndersen,M,70000,22-02-2020,Lane Cove,New South Wales,Australia,1597
11058,29,MarcDiaz,M,80000,09-03-2020,Findon,South Australia,Australia,5023
11059,27,AshleeAndersen,F,80000,18-02-2022,Townsville,Queensland,Australia,4810
11060,40,JonZhou,M,80000,19-03-2020,Warrnambool,Victoria,Australia,3280
11061,23,ToddGao,M,80000,13-03-2020,Gold Coast,Queensland,Australia,4217
11062,547,NoahPowell,M,40000,07-01-2022,Portland,Oregon,United States,97205
11063,634,AngelaMurphy,F,40000,12-01-2022,Redmond,Washington,United States,98052
11064,315,ChaseReed,M,40000,25-01-2022,Downey,California,United States,90241
11065,331,JessicaHenderson,F,60000,10-02-2022,La Jolla,California,United States,92806
11066,543,GraceButler,F,70000,31-05-2022,Lebanon,Oregon,United States,97355
11067,632,CalebCarter,M,60000,18-08-2022,Port Orchard,Washington,United States,98366
11068,40,TiffanyLiang,F,80000,30-04-2022,Warrnambool,Victoria,Australia,3280
11069,23,CarolynNavarro,F,80000,17-04-2020,Gold Coast,Queensland,Australia,4217
11070,39,WillieRaji,M,80000,28-04-2020,Sunbury,Victoria,Australia,3429
11071,24,LindaSerrano,F,80000,01-03-2022,Hawthorne,Queensland,Australia,4171
11072,17,CaseyLuo,F,80000,31-03-2020,St. Leonards,New South Wales,Australia,2065
11073,16,AmyYe,F,70000,23-03-2022,Springwood,New South Wales,Australia,2777
11074,28,LeviArun,M,70000,23-03-2022,Cloverdale,South Australia,Australia,6105
11075,32,FeliciaJimenez,F,80000,28-04-2020,Bendigo,Victoria,Australia,3550
11076,19,BlakeAnderson,M,80000,21-04-2020,Wollongong,New South Wales,Australia,2500
11077,36,LeahYe,F,80000,15-04-2020,Melton,Victoria,Australia,3337
11078,49,GinaMartin,F,40000,15-02-2022,Cliffside,British Columbia,Canada,V8Y 1L1
